route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,3a0896e0-c1bc-4f6d-b254-65f052da613d,e147fd6a-4bbc-40a7-8935-55cf83b10823,Regional Transit Center,1,5ad906f0-9b2e-4d5d-81ce-5fb4266dbbbc
3631,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,67b3619d-5aaa-4dc2-b2c4-764e2900cede,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,f223de22-40d8-41f1-bcd7-f8dcb0312932
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,28507fd2-26fe-4434-83aa-b62c91cab4b7,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,c87cfb0c-c811-4cee-9635-d28a4ef08b4c
3639,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,ba3fbd29-876b-430d-82bb-86fa54b8d071,40be6193-87fc-45bd-845e-9a4668416677,Raleigh Union Stn,0,27da63ba-0d00-43e9-b0f3-53f058a8d234
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,70690010-cdeb-47c9-8640-1a227db23c95,26db2e0e-bbe3-428d-8c0a-da5177b5a33d,GoRaleigh Station,0,d30b8488-62c5-4dc1-b161-5996c2ad6110
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,cb82eb74-0b1a-45f1-8709-1fc5c8a430f0,26db2e0e-bbe3-428d-8c0a-da5177b5a33d,GoRaleigh Station,0,ed605d50-b9a8-4d12-ba8c-42b24777c892
3630,0ebae99b-1ac5-466d-b0be-22f06dd11455,212dcc7b-c9cb-43ee-b819-c300acb393eb,a6c4894d-502e-464c-a4d3-017ef19d19b8,Raleigh Union Station,0,e3076194-c208-4e3f-9bb6-a6817bc517aa
3639,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,db3a2587-8e32-43d6-9b7b-4f29bb93fe8e,40be6193-87fc-45bd-845e-9a4668416677,Raleigh Union Stn,0,390ee5df-2400-4970-8094-505c3042b2e8
3631,0ebae99b-1ac5-466d-b0be-22f06dd11455,b95e4174-cb63-4fc4-ab23-4fc7bab127e7,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,656b799a-1fc8-49d9-a815-bed17867b65e
3633,0ebae99b-1ac5-466d-b0be-22f06dd11455,2644d260-5a2d-41b5-9287-dd113ddc8fef,5bf76334-d84b-4b1e-aebc-fe9cdc91a243,Chapel Hill and UNC Hospitals,0,3540c1e6-adbc-42a5-9baf-0686faa01ca9
